  Karnataka Slum Areas Improvement and Clearance Act, 1973: 1

  Karnataka State Universities Act, 1976: 1

  Karnataka State Universities Act, 1976: 1

  Karnataka Tax on Luxuries Act, 1979: 1

  Karnataka Tax on Profession, Trades, Callings and Employments Act, 1976: 1

  Karnataka Taxation Laws Amendment Act, 1997: 1

  Karnataka Taxation Laws Amendment Act, 1997: 1

  Karnataka Taxation and Certain Other Laws Amendment Act, 1979: 1

  Karnataka Taxation and Certain Other Laws Amendment Act, 1979: 1

  Karnataka Taxation and Certain Other Laws Amendment Act, 1982: 1

  Karnataka Urban Development Authorities Act, 1987: 1

  Karnataka Village Offices Abolition Amendment Act, 1978: 1

  Kerala Cashew Factories Requisitioning Act, 1979: 1

  Kerala Cashew Factories Requisitioning Act, 1979: 1

  Kerala Chitties Act, 1975: 1

  Kerala Civil Courts Act, 1957: 1

  Kerala Cooperative Societies Act, 1969: 1

  Kerala Cooperative Societies Act, 1969: 1

  Kerala Compensation for Tenants Improvements Act, 1958: 1

  Kerala CourtFees and Suits Valuation Act, 1959: 1

  Kerala Criminal Law Amendment Act, 1962: 1

  Kerala Electricity Duty Act, 1963: 1

  Kerala Escheats and Forfeitures Act, 1964: 1

  Kerala Essential Articles Control Temporary Powers Act, 1961: 1

  Kerala Essential Articles Control Act, 1986: 1

  Kerala Forest Produce Fixation of Selling Price Act, 1978: 1

  Kerala Government Land Assignment Act, 1960: 1

  Kerala Government Land Assignment Act, 1960: 1

  Kerala Lok Ayukta Act, 1999: 1

  Kerala Municipality Act, 1994: 1

  Kerala Plantations Additional Tax Act, 1960: 1

  Kerala Prohibition of Ragging Act, 1998: 1

  Kerala Public Buildings Eviction of Unauthorised Occupants Act, 1968: 1

  Kerala Public Services Act, 1968: 1

  Kerala Restriction on Transfer by and Restoration of Lands to Scheduled Tribes Act, 1999: 1

  Kerala Shops and Commercial Establishments Act, 1960: 1

  Kerala State Backward Classes Reservation of Appointments or Posts in the Services Under the State Act, 1995: 1

  Kerala State Commission for Backward Classes Act, 1993: 1

  Kerala Stay of Eviction proceedings Act, 1998: 1

  Khadi and Village Industries Commission Act, 1956: 1

  Land Acquisition Amendment and Validation Act, 1967: 1

  Land Acquisition Punjab Amendment Act, 1953: 1

